iter	Passed	Remaining
455	844	8417
456	845	8407
457	846	8398
458	848	8389
459	849	8387
460	851	8384
461	852	8377
462	854	8370
463	855	8364
464	856	8356
465	858	8352
466	859	8344
467	860	8336
468	861	8327
469	862	8317
470	864	8310
471	866	8307
472	867	8299
473	868	8290
474	869	8282
475	870	8273
476	871	8263
477	872	8254
478	873	8245
479	874	8237
480	875	8228
481	876	8219
482	878	8212
483	880	8218
484	882	8212
485	883	8205
486	884	8198
487	885	8189
488	886	8179
489	887	8172
490	889	8164
491	890	8156
492	891	8148
493	892	8142
494	893	8135
495	896	8143
496	897	8135
497	898	8126
498	899	8116
499	900	8107
500	901	8097
501	902	8088
502	903	8078
503	904	8068
504	905	8061
505	907	8057
506	908	8050
507	909	8043
508	911	8044
509	913	8038
510	914	8031
511	915	8026
512	916	8018
513	917	8009
514	918	8000
515	919	7991
516	920	7985
517	922	7977
518	923	7971
519	924	7964
520	927	7971
521	928	7963
522	929	7955
523	930	7947
524	931	7938
525	932	7931
526	933	7923
527	934	7918
528	935	7909
529	936	7902
530	937	7894
531	938	7885
532	939	7877
533	941	7871
534	942	7868
535	943	7859
